"scenario","sim_method","cluster_method","best_k","n_seeds","ARI_mean","ARI_sd","ARI_se"
"SCE2","CC","GBMT",2,10,0.41324179671979,0.0895359928655085,0.0283137670019593
"SCE2","CC","KML3D",2,10,0.158349956122143,0.0368133222365814,0.0116413946505321
"SCE2","CC","LCMM",3,10,0.0785858799265669,0.0320439108531504,0.0101331743435345
"SCE2","CC","flexmix",2,10,0.345848621163176,0.0596310244323841,0.0188569856415483
"SCE2","CC","mixAK",2,10,0.285162662904841,0.0620012475972369,0.0196065160179311
"SCE2","LME-F","GBMT",3,10,0.394966497011801,0.0734521975815662,0.0232276243502461
"SCE2","LME-F","KML3D",2,10,0.294815687755976,0.0730492330460934,0.0231001957754095
"SCE2","LME-F","LCMM",4,10,0.239388655321866,0.0813327441422693,0.0257196719841289
"SCE2","LME-F","flexmix",3,10,0.330544070904787,0.0422046736692317,0.0133462896698908
"SCE2","LME-F","mixAK",2,10,0.427221507247939,0.0955171003888637,0.0302051592723764
"SCE2","LME-S","GBMT",2,10,0.397755664897534,0.0549707188353301,0.0173832676136361
"SCE2","LME-S","KML3D",2,10,0.225177821247179,0.0398647165695824,0.0126063302636935
"SCE2","LME-S","LCMM",4,10,0.130230243541446,0.0815614432518581,0.0257919929926442
"SCE2","LME-S","flexmix",2,10,0.409954528977528,0.0461018281475853,0.0145786781244031
"SCE2","LME-S","mixAK",2,10,0.380496658002978,0.0549206802236592,0.0173674440152529
"SCE2","MICE-CS","GBMT",2,9,0.407461327585923,0.0721631853438977,0.0240543951146326
"SCE2","MICE-CS","KML3D",2,9,0.215113246376758,0.0427145329990882,0.0142381776663627
"SCE2","MICE-CS","LCMM",4,9,0.122109523822368,0.0602392580756386,0.0200797526918795
"SCE2","MICE-CS","flexmix",2,9,0.407013917708941,0.0543675194500171,0.018122506483339
"SCE2","MICE-CS","mixAK",2,10,0.334481080769362,0.0629806863376914,0.0199162417427753
"SCE2","MICE-L","GBMT",2,10,0.427366988055628,0.0444482199316859,0.0140557612924221
"SCE2","MICE-L","KML3D",2,10,0.226437733566805,0.0381037974419328,0.0120494787418205
"SCE2","MICE-L","LCMM",4,10,0.120635638682119,0.0571428395133919,0.0180701524831786
"SCE2","MICE-L","flexmix",2,10,0.424157173666883,0.0296705311981082,0.00938264579731064
"SCE2","MICE-L","mixAK",2,10,0.301966501640627,0.063504759425365,0.0200819682045199
"SCE2","eCDF-Copula","GBMT",2,9,0.423450872367271,0.0658725936985725,0.0219575312328575
"SCE2","eCDF-Copula","KML3D",2,9,0.22043414073652,0.0393805375432777,0.0131268458477592
"SCE2","eCDF-Copula","LCMM",4,9,0.125805609156095,0.067274610482681,0.0224248701608937
"SCE2","eCDF-Copula","flexmix",2,9,0.409414619241641,0.0682097307059602,0.0227365769019867
"SCE2","eCDF-Copula","mixAK",2,10,0.341167366333845,0.0678884166462588,0.0214682023344667
"SCE3","CC","GBMT",2,10,0.926749467029185,0.0465221227828977,0.0147115869579968
"SCE3","CC","KML3D",2,10,0.286967610459876,0.180252288529877,0.0570007785212255
"SCE3","CC","flexmix",2,10,0.567153704613833,0.096749790975115,0.0305949702626566
"SCE3","CC","mixAK",2,10,0.883755085190945,0.0418444911234749,0.0132323899480879
"SCE3","LME-F","GBMT",2,10,0.313163919145415,0.0946508908965749,0.0299312397797274
"SCE3","LME-F","KML3D",2,10,0.145170005451574,0.143476043466878,0.0453711087024655
"SCE3","LME-F","flexmix",2,10,0.297495020591943,0.0643788644734157,0.020358384491129
"SCE3","LME-F","mixAK",2,9,0.32440715282789,0.0833556106693008,0.0277852035564336
"SCE3","LME-S","GBMT",2,10,0.717115274299021,0.0638895060866927,0.020203635781714
"SCE3","LME-S","KML3D",2,10,0.159971709804393,0.0613447740902139,0.0193989208673559
"SCE3","LME-S","flexmix",2,10,0.468995943308076,0.0295486701581337,0.00934410995287504
"SCE3","LME-S","mixAK",2,6,0.629508973923154,0.0561074852288204,0.0229057849268924
"SCE3","MICE-CS","GBMT",2,9,0.82301146582441,0.0384187631647129,0.0128062543882376
"SCE3","MICE-CS","KML3D",2,9,0.158762775160824,0.0575201232547658,0.0191733744182553
"SCE3","MICE-CS","flexmix",2,9,0.583675289247078,0.0300050826097522,0.0100016942032507
"SCE3","MICE-CS","mixAK",2,5,0.788304148396984,0.0334970239245706,0.0149803245078553
"SCE3","MICE-L","GBMT",2,10,0.778914869444168,0.0478819008788966,0.0151415865475732
"SCE3","MICE-L","KML3D",2,10,0.175777021462933,0.0579922919617911,0.0183387729332734
"SCE3","MICE-L","flexmix",2,10,0.559571722123176,0.0323008300330315,0.0102144193218352
"SCE3","MICE-L","mixAK",2,9,0.731848858136114,0.042288979264787,0.0140963264215957
"SCE3","eCDF-Copula","GBMT",2,9,0.833063838416631,0.0344221687645279,0.0114740562548426
"SCE3","eCDF-Copula","KML3D",2,9,0.171188896850043,0.0472140107010637,0.0157380035670212
"SCE3","eCDF-Copula","flexmix",2,9,0.573160584241057,0.0466565575851295,0.0155521858617098
"SCE3","eCDF-Copula","mixAK",2,6,0.796196370857025,0.0239587838226143,0.00978113253717554
